Symbol,Description,Exchange
ADRU,Bldrs Europe Select ADR Index Fund Invesco,NASDAQ
ADSK,Autodesk Inc,NASDAQ
ADTN,Adtran Inc,NASDAQ
ADUS,Addus Homecare Corp,NASDAQ
ADVM,Adverum Biotechnlgs,NASDAQ
ADXS,Advaxis Inc,NASDAQ
AEGN,Aegion Corp,NASDAQ
AEHR,Aehr Test Systems,NASDAQ
AEIS,Advanced Energy,NASDAQ
AEMD,Aethlon Medical,NASDAQ
AERI,Aerie Pharmaceuticals,NASDAQ
AESE,Allied Esports Entertainment Inc,NASDAQ
AESEW,Allied Esports Entertainment Inc WT,NASDAQ
AEY,Addvantage Techs Group,NASDAQ
AEYE,Audioeye Inc,NASDAQ
AEZS,Aeterna Zentaris,NASDAQ
AFH,Atlas Fincl Hld Ord,NASDAQ
AFHBL,Atlas Financial Holdings Inc 6.625% Senior Uns,NASDAQ
AFIN,American Finance Trust Inc Cl A,NASDAQ
AFINP,American Finance Trust Inc Pfd Ser A,NASDAQ
AFMD,Affimed N.V.,NASDAQ
AFYA,Afya Ltd Cl A,NASDAQ
AGBA,Agba Acquisition Limited,NASDAQ
AGBAR,Agba Acquisition Ltd Right,NASDAQ
AGBAU,Agba Acquisition Ltd Unit,NASDAQ
AGBAW,Agba Acquisition Ltd WT,NASDAQ
AGEN,Agenus Inc,NASDAQ
AGFS,Agrofresh Solutions,NASDAQ
AGFSW,Agrofresh Sol Wrrnts,NASDAQ
AGIO,Agios Pharmaceuticals,NASDAQ
AGLE,Aeglea Biothera,NASDAQ
AGMH,Agm Group Holdings Inc Cl A,NASDAQ
AGNC,American Capital Age,NASDAQ
AGNCB,American Cap Agy Cor,NASDAQ
AGNCM,Agnc Investment Corp Cum Red Pfd Ser D Fixed To,NASDAQ
AGNCN,Agnc Investment Corp,NASDAQ
AGND,Wisdomtree Neg Duration US Agg Bond Fund,NASDAQ
AGRX,Agile Therap,NASDAQ
AGTC,Applied Genetic Tech,NASDAQ
AGYS,Agilysys Inc,NASDAQ
AGZD,Wisdomtree Int Rate US Agg Bond Fund,NASDAQ
AHPI,Allied Healthcare,NASDAQ
AIA,Asia 50 Ishares ETF,NASDAQ
AIHS,Senmiao Technology Ltd,NASDAQ
AIMC,Altra Indtl Mtn,NASDAQ
AIMT,Aimmune Therap,NASDAQ
AINV,Apollo Investment Company,NASDAQ
AIQ,Global X Future Analytics Tech ETF,NASDAQ
AIRG,Airgain Inc,NASDAQ
AIRR,Rba American Industrial Renaissance ETF FT,NASDAQ
AIRT,Air T Inc,NASDAQ
AIRTP,Air T Inc Funding Alpha Income Trust Preferred,NASDAQ
AIRTW,Air T Inc Funding WT,NASDAQ
AKAM,Akamai Technologies,NASDAQ
AKBA,Akebia Therapeutics,NASDAQ
AKCA,Akcea Therapeutics Inc,NASDAQ
AKER,Akers Biosciences,NASDAQ
AKRO,Akero Therapeutics Inc,NASDAQ
AKRX,Akorn Inc,NASDAQ
AKTS,Akoustis Technologies Inc,NASDAQ
AKTX,Akari Therapeutics,NASDAQ
ALAC,Alberton Acquisition Corp,NASDAQ
ALACR,Alberton Acquisition Corp Rights,NASDAQ
ALACW,Alberton Acquisition Corp WT,NASDAQ
ALBO,Albireo Pharma Inc,NASDAQ
ALCO,Alico Inc,NASDAQ
ALDR,Alder Biopharma,NASDAQ
ALDX,Aldeyra Therapeu,NASDAQ
ALEC,Alector Inc,NASDAQ
ALGN,Align Technology,NASDAQ
ALGR,Allegro Merger Corp,NASDAQ
ALGRR,Allegro Merger Corp Right,NASDAQ
ALGRU,Allegro Merger Corp Unit,NASDAQ
ALGRW,Allegro Merger Corp WT,NASDAQ
ALGT,Allegiant Travel Com,NASDAQ
ALIM,Alimera Sciences Inc,NASDAQ
ALJJ,Alj Regional Hold,NASDAQ
ALKS,Alkermes Plc,NASDAQ
ALLK,Allakos Inc,NASDAQ
ALLO,Allogene Therapeutics Inc,NASDAQ
ALLT,Allot Communications,NASDAQ
ALNA,Allena Pharmaceuticals Inc,NASDAQ
ALNY,Alnylam Pharmaceuticals,NASDAQ
ALOT,Astronova Inc,NASDAQ
ALPN,Alpine Immune Sciences Inc,NASDAQ
ALRM,Alarm.com,NASDAQ
ALRN,Aileron Therapeutics Inc,NASDAQ
ALRS,Alerus Financial Corp,NASDAQ
ALSK,Alaska Commun Sys,NASDAQ
ALT,Altimmune Inc,NASDAQ
ALTM,Altus Midstream Company,NASDAQ
ALTR,Altair Engineering Inc Cl A,NASDAQ
ALTY,G-X Super Dividend Alternatives ETF,NASDAQ
ALXN,Alexion Pharm Inc,NASDAQ
ALYA,Alithya Group Inc Cl A,NASDAQ
AMAG,Amag Pharmaceuticals,NASDAQ
AMAL,Amalgamated Bk,NASDAQ
AMAT,Applied Materials,NASDAQ
AMBA,Ambarella Inc,NASDAQ
AMBC,Ambac Financial Group,NASDAQ
AMBCW,Ambac Financial Group,NASDAQ
AMCA,Russell 1000 Pure US Rev Ishares ETF,NASDAQ
AMCI,Amci Acquisition Corp Cl A,NASDAQ
AMCIU,Amci Acquisition Corp Unit,NASDAQ
AMCIW,Amci Acquisition Corp WT,NASDAQ
AMCX,Amc Networks Cl A,NASDAQ
AMD,Adv Micro Devices,NASDAQ
AMED,Amedisys Inc,NASDAQ
AMEH,Apollo Medical Holdings Inc,NASDAQ
AMGN,Amgen Inc,NASDAQ
AMKR,Amkor Technology,NASDAQ
AMNB,American Natl Bksh,NASDAQ
AMOT,Allied Motion Tech,NASDAQ
AMPH,Amphastar Pharma,NASDAQ
AMR,Alta Mesa Resources Inc,NASDAQ
AMRB,American River Bkshs,NASDAQ
AMRH,Ameri Holdings Inc,NASDAQ
AMRHW,Ameri Holdings Inc WT,NASDAQ
AMRK,A-Mark Precious Meta,NASDAQ
AMRN,Amarin Corp Ads,NASDAQ
AMRS,Amyris Inc,NASDAQ
AMRWW,Alta Mesa Resources Inc WT,NASDAQ
AMSC,Amer Superconductor,NASDAQ
AMSF,Amerisafe Inc,NASDAQ
AMSWA,Amer Software Inc,NASDAQ
AMTB,Mercantil Bank Holding Cl A,NASDAQ
AMTBB,Mercantil Bank Holding Cl B,NASDAQ
AMTD,TD Ameritrade HD,NASDAQ
AMTX,Aemetis Inc,NASDAQ
AMWD,Amer Woodmark Cp,NASDAQ
AMZN,Amazon.com Inc,NASDAQ
ANAB,Anaptysbio Inc,NASDAQ
ANAT,Amer Natl Insurance,NASDAQ
ANCN,Anchiano Therapeutics Ltd ADR,NASDAQ
ANDA,Andina Acquisition Corp III,NASDAQ
ANDAR,Andina Acquisition Corp III Right,NASDAQ
ANDAU,Andina Acquisition Corp III Unit,NASDAQ
ANDAW,Andina Acquisition Corp III WT,NASDAQ
ANDE,Andersons Inc,NASDAQ
ANGI,Homeservices Inc,NASDAQ
ANGO,Angiodynamics Inc,NASDAQ
ANIK,Anika Therapeutics,NASDAQ
ANIP,ANI Pharma Inc,NASDAQ
ANIX,Anixa Biosciences Inc,NASDAQ
ANSS,Ansys Inc,NASDAQ
ANTE,Airnet Technology Inc,NASDAQ
ANY,Sphere 3D Corp,NASDAQ
AOBC,American Outdoor Brands Corp,NASDAQ
AOSL,Alpha and Omega Semi,NASDAQ
APDN,Applied Dna Scns,NASDAQ
APDNW,Applied Dna Sci Wrnt,NASDAQ
APEI,American Pub. Edu.,NASDAQ
APEN,Apollo Endosurgery Inc,NASDAQ
APEX,Apex Global Brands Inc,NASDAQ
APLS,Apellis Pharmaceuticals Inc,NASDAQ
APLT,Applied Therapeutics Inc,NASDAQ
APM,Aptorum Group Ltd Cl A,NASDAQ
APOG,Apogee Entrpr Inc,NASDAQ
APOP,Cellect Biotechnology Ltd,NASDAQ
APOPW,Cellect Biotechnology Ltd,NASDAQ
APPF,Appfolio Cl A,NASDAQ
APPN,Appian Corp Cl A,NASDAQ
APPS,Digital Turbine,NASDAQ
APTO,Aptose Bioscns,NASDAQ
APTX,Aptinyx Inc,NASDAQ
APVO,Aptevo Therapeutics Inc,NASDAQ
APWC,Asia Pacific Wire & Cable,NASDAQ
APXTU,Apex Technology Acquisition Corp,NASDAQ
APYX,Apyx Medical Corp,NASDAQ
AQB,Aquabounty Technologies Inc,NASDAQ
AQMS,Aqua Metals Inc,NASDAQ
AQST,Aquestive Therapeutics Inc,NASDAQ
ARAV,Aravive Inc,NASDAQ
ARAY,Accuray Incorporated,NASDAQ
ARCB,Arcbest Corp,NASDAQ
ARCC,Ares Capital Corp,NASDAQ
ARCE,Arco Platform Ltd Cl A,NASDAQ
ARCI,Applnc Rcycl CT Amer,NASDAQ
ARCT,Arcturus Therapeutics Ltd,NASDAQ
ARDS,Aridis Pharmaceuticals Inc,NASDAQ
ARDX,Ardelyx Inc,NASDAQ
AREC,American Resources Corp,NASDAQ
AREX,Approach Res. Inc,NASDAQ
ARGX,Argenx Se Ads,NASDAQ
ARKR,Ark Restaurants Cp,NASDAQ
ARLP,Alliance Resource Pt,NASDAQ
ARNA,Arena Pharmaceuticals,NASDAQ
AROW,Arrow Financial Corp,NASDAQ
ARPO,Aerpio Pharmaceuticals Inc,NASDAQ
ARQL,Arqule Inc,NASDAQ
ARTL,Artelo Biosciences Inc,NASDAQ
ARTLW,Artelo Biosciences Inc WT,NASDAQ
ARTNA,Artesian Res Cp A,NASDAQ
ARTW,Art S Way MFG Company,NASDAQ
ARTX,Arotech Corp,NASDAQ
ARVN,Arvinas Inc,NASDAQ
ARWR,Arrowhead Pharma,NASDAQ
ARYA,Arya Sciences Acquisiton Corp Cl A,NASDAQ
ARYAU,Arya Sciences Acquisiton Corp Unit,NASDAQ
ARYAW,Arya Sciences Acquisiton Corp WT,NASDAQ
ASET,Flexshares Real Assets Allocation Index Fund,NASDAQ
ASFI,Asta Funding Inc,NASDAQ
ASLN,Aslan Pharmaceuticals Ltd ADR,NASDAQ
ASMB,Assembly Biosciences,NASDAQ
ASML,Asml Hldg NY Reg,NASDAQ
ASNA,Ascena Retail Group,NASDAQ
ASND,Ascendis Pharma Ads,NASDAQ
ASPS,Altisource Portfolio,NASDAQ
ASPU,Aspen Group Inc,NASDAQ
ASRT,Assertio Therapeutics Inc,NASDAQ
ASRV,Ameriserv Financial,NASDAQ
ASRVP,Ameriserv Fin Cap,NASDAQ
ASTC,Astrotech Corp,NASDAQ
ASTE,Astec Inds Inc,NASDAQ
ASUR,Asure Software,NASDAQ
ASV,Asv Holdings Inc,NASDAQ
ASYS,Amtech Systems Inc,NASDAQ
ATAI,Ata Inc ADR,NASDAQ
ATAX,Amer First Mf Inv,NASDAQ
ATEC,Alphatec Holdings,NASDAQ
ATEX,Pdvwireless,NASDAQ
ATHE,Alterity Therapeutics Ltd.,NASDAQ
ATHX,Athersys Inc,NASDAQ
ATIF,Atif Holdings Limited,NASDAQ
ATIS,Attis Industries Inc,NASDAQ
ATISW,Attis Industries Inc WT,NASDAQ
ATLC,Atlanticus Hldg Cp,NASDAQ
ATLO,Ames Natl Corp,NASDAQ
ATNI,Atn International,NASDAQ
ATNX,Athenex Inc,NASDAQ
ATOM,Atomera Inc,NASDAQ
ATOS,Atossa Genetics Inc,NASDAQ
ATRA,Atara Biotherap,NASDAQ
ATRC,Atricure Inc,NASDAQ
ATRI,Atrion Corp,NASDAQ
ATRO,Astronics Cp,NASDAQ
ATRS,Antares Pharma,NASDAQ
ATSG,Air Transport,NASDAQ
ATVI,Activision Blizzard,NASDAQ
ATXI,Avenue Therapeutics Inc,NASDAQ
AUB,Atlantic Union Bancshares Corp,NASDAQ
AUBN,Auburn Natl Bncp,NASDAQ
AUDC,Audiocodes Ltd,NASDAQ
AUPH,Aurinia Pharm Ord,NASDAQ
AUTL,Autolus Therapeutics Plc ADR,NASDAQ
AUTO,Autoweb Inc,NASDAQ
AVAV,Aerovironment Inc,NASDAQ
AVCO,Avalon Globocare,NASDAQ
AVDL,Avadel Pharmaceuticals Plc,NASDAQ
AVDR,Avedro Inc,NASDAQ
AVEO,Aveo Pharmaceuticals,NASDAQ
AVGO,Broadcom Ltd,NASDAQ
AVGR,Avinger Inc,NASDAQ
AVID,Avid Tech Inc,NASDAQ
AVNW,Aviat Networks Inc,NASDAQ
AVRO,Avrobio Inc,NASDAQ
AVT,Avnet Inc,NASDAQ
AVXL,Anavex Lf SC,NASDAQ
AWRE,Aware Inc,NASDAQ
AWSM,Cool Holdings Inc,NASDAQ
AXAS,Abraxas Petro Corp,NASDAQ
AXDX,Accelerate Diagnosti,NASDAQ
AXGN,Axogen Inc,NASDAQ
AXGT,Axovant Sciences Ltd,NASDAQ
AXLA,Axcella Health Inc,NASDAQ
AXNX,Axonics Modulation Technologies Inc,NASDAQ
AXSM,Axsome Thera,NASDAQ
AXTI,Axt Inc,NASDAQ
AY,Atlantica Yield Plc,NASDAQ
AYTU,Aytu Bioscience Inc,NASDAQ
AZPN,Aspen Technology,NASDAQ
AZRX,Azurrx Biopharma Inc,NASDAQ
BAND,Bandwidth Inc,NASDAQ
BANF,Bancfirst Corp,NASDAQ
BANFP,Bfc Capital Trust II,NASDAQ
BANR,Banner Corp,NASDAQ
BANX,Stonecastle Fncl Cp,NASDAQ
BASI,Bioanalytical Syst,NASDAQ
BATRA,Liberty Braves CS A,NASDAQ
BATRK,Liberty Braves CS C,NASDAQ
BBBY,Bed Bath & Beyond,NASDAQ
BBCP,Concrete Pumping Holdings Inc,NASDAQ
BBGI,Beasley Brdcst Gr,NASDAQ
BBH,Biotech Vaneck ETF,NASDAQ
BBI,Brickell Biotech Inc,NASDAQ
BBIO,Bridgebio Pharma Inc,NASDAQ
BBQ,Bbq Holdings Inc.,NASDAQ
BBSI,Barrett Business S,NASDAQ
BCBP,Bcb Bancorp Inc,NASDAQ
BCDA,Biocardia Inc,NASDAQ
BCDAW,Biocardia Inc WT,NASDAQ
BCEL,Atreca Inc Cl A,NASDAQ
BCLI,Brainstorm Cell,NASDAQ
BCML,Bay Commercial Bk CA,NASDAQ
BCNA,Reality Shares Nasdaq Nexgen Economy China ETF,NASDAQ
BCOM,B Communications Ltd,NASDAQ
BCOR,Blucora Inc,NASDAQ
BCOV,Brightcove Inc,NASDAQ
BCOW,1895 Bancorp of Wisconsin Inc,NASDAQ
BCPC,Balchem Cp,NASDAQ
BCRX,Biocryst Pharma Inc,NASDAQ
BCTF,Bancorp 34 Inc,NASDAQ
BCYC,Bicycle Therapeutics Plc ADR,NASDAQ
BDGE,Bridge Bancorp Inc,NASDAQ
BDSI,Biodelivery Sci Intl,NASDAQ
BEAT,Biotelemetry Inc,NASDAQ
BECN,Beacon Roofing Suppl,NASDAQ
BELFA,Bel Fuse Cl A,NASDAQ
BELFB,Bel Fuse Inc Cl B,NASDAQ
BFC,Bank First National Corp [Wisconsin],NASDAQ
BFIN,Bankfinancial Corp,NASDAQ
BFIT,G-X Health & Wellness Thematic Et,NASDAQ
BFRA,Biofrontera Ag ADR,NASDAQ
BFST,Business First Bancshares Inc,NASDAQ
BGCP,Bgc Partners Cl A,NASDAQ
BGFV,Big 5 Sporting,NASDAQ
BGNE,Beigene Ltd Ads,NASDAQ
BGRN,Ishares Global Green Bond ETF,NASDAQ
BHAT,Blue Hat Interactive Entertainment Tech,NASDAQ
BHF,Brighthouse Financial Inc,NASDAQ
BHFAL,Brighthouse Financial Inc 6.25% Junior Subordi,NASDAQ
BHFAP,Brighthouse Financial Inc Dep Shs Repstg 1/1000T,NASDAQ
BHTG,Biohitech Global Inc,NASDAQ
BIB,Ultra Nasdaq Biotech Proshares,NASDAQ
BICK,BICK Index Fund FT,NASDAQ
BIDU,Baidu Inc,NASDAQ
BIIB,Biogen Inc,NASDAQ
BILI,Bilibili Inc ADR,NASDAQ
BIMI,NF Energy Saving Corp,NASDAQ
BIOC,Biocept Inc,NASDAQ
BIOL,Biolase Inc,NASDAQ
BIOS,Option Care Health Inc,NASDAQ
BIS,Ultrashort Biotechnology Proshares,NASDAQ
BJRI,Bj's Restaurants Inc,NASDAQ
BKCC,Blackrock Cptl Invt,NASDAQ
BKCH,Advisorshares Sabretooth ETF,NASDAQ
BKEP,Blueknight Energy LP,NASDAQ
BKEPP,Blueknight Srs A Uts,NASDAQ
BKNG,Booking Holdings Inc,NASDAQ
BKSC,Bank of So Car Cp,NASDAQ
BKYI,Bio-Key Intl Inc,NASDAQ
BL,Blackline Inc,NASDAQ
BLBD,Blue Bird Corp,NASDAQ
BLCM,Bellicum Pharma Comm,NASDAQ
BLCN,Reality Shares Nasdaq Nextgen Economy ETF,NASDAQ
BLDP,Ballard Power Sys,NASDAQ
BLDR,Builders Firstsource,NASDAQ
BLFS,Biolife Solutions,NASDAQ
BLIN,Bridgeline Digital,NASDAQ
BLKB,Blackbaud Inc,NASDAQ
BLMN,Bloomin' Brands Inc,NASDAQ
BLNK,Blink Charging Company,NASDAQ
BLNKW,Blink Charging Co. WT,NASDAQ
BLPH,Bellerophon Ther Com,NASDAQ
BLRX,Biolinerx Ltd,NASDAQ
BLU,Bellus Health Inc,NASDAQ
BLUE,Bluebird Bio,NASDAQ
BMCH,Bmc Stock Holdings,NASDAQ
BMLP,Dorsey Wright MLP Index ETN,NASDAQ
BMRA,Biomerica Inc,NASDAQ
BMRC,Bank of Marin Bancrp,NASDAQ
BMRN,Biomarin Pharmaceuticals,NASDAQ
BMTC,Bryn Mawr Bank Corp,NASDAQ
BND,Total Bond Market ETF Vanguard,NASDAQ
BNDW,Total World Bond Vanguard ETF,NASDAQ
BNDX,Total Intl Bond ETF Vanguard,NASDAQ
BNFT,Benefitfocus,NASDAQ
BNGO,Bionano Genomics Inc,NASDAQ
BNGOW,Bionano Genomics Inc WT,NASDAQ
BNSO,Bonso Elec Intl IN,NASDAQ
BNTC,Benitec Biopharm Ads,NASDAQ
BNTCW,Benitec Biopharm Wrt,NASDAQ
BOCH,Bank of Commerce Hld,NASDAQ
BOKF,Bok Financial Corp,NASDAQ
BOKFL,Bok Financial Corp,NASDAQ
BOLD,Audentes Therapeutics Inc,NASDAQ
BOMN,Boston Omaha Corp Cl A,NASDAQ
BOOM,Dynamic Materials,NASDAQ
BOSC,Bos Better Online,NASDAQ
BOTJ,Bank of The Jame Fnl,NASDAQ
BOTZ,G-X Robotics & Artificial Intel Thmtc ETF,NASDAQ
BOXL,Boxlight Corp Cl A,NASDAQ
BPFH,Boston Pvt Finl Hldg,NASDAQ
BPMC,Blueprint Medicines Corp,NASDAQ
BPOP,Popular Inc,NASDAQ
BPOPM,Popular Inc Trust II,NASDAQ
BPOPN,Popular Inc Trust,NASDAQ
BPR,Brookfield Property REIT Inc,NASDAQ
BPRAP,Brookfield Property REIT Inc 6.375% Series A,NASDAQ
BPRN,Bank of Princeton,NASDAQ
BPTH,Bio-Path Holdings,NASDAQ
BPY,Brookfield Property Partners L,NASDAQ
BPYPO,Brookfield Property Partners L.P. - 6.375% Prf P,NASDAQ
BPYPP,Brookfield Property Partners LP Pfd Unit Ltd Par,NASDAQ
BREW,Craft Brew Alliance,NASDAQ
BRID,Bridgford Foods Cp,NASDAQ
BRKL,Brookline Bancorp,NASDAQ
BRKR,Bruker Corp,NASDAQ
BRKS,Brooks Automation,NASDAQ
BROG,Twelve Seas Investment Company,NASDAQ
BROGR,Twelve Seas Investment Company Rights,NASDAQ
BROGU,Twelve Seas Investment Company Units,NASDAQ
BROGW,Twelve Seas Investment Company WT,NASDAQ
BRPA,Big Rock Partners Acquisition Corp,NASDAQ
BRPAR,Big Rock Partners Acquisition Corp Right,NASDAQ
BRPAU,Big Rock Partners Acquisition Corp Unit,NASDAQ
BRPAW,Big Rock Partners Acquisition Corp WT,NASDAQ
BRQS,Borqs Technologies Inc,NASDAQ
BRY,Berry Pete Corp,NASDAQ
BSET,Bassett Furniture,NASDAQ
BSGM,Biosig Technologies,NASDAQ
BSQR,Bsquare Corp,NASDAQ
BSRR,Sierra Bancorp,NASDAQ
BSTC,Biospecifics Tech Cp,NASDAQ
BSVN,Bank7 Corp,NASDAQ
BTAI,Bioxcel Therapeutics Inc,NASDAQ
BTEC,Principal Healthcare Innovators Index,NASDAQ
BURG,Chanticleer Hldgs,NASDAQ
BUSE,First Busey Corp,NASDAQ
BVSN,Broadvision Inc,NASDAQ
BVXV,Biondvax Pharma Ads,NASDAQ
BWAY,Brainsway Ltd ADR,NASDAQ
BWB,Bridgewater Bancshares Inc,NASDAQ
BWEN,Broadwind Energy Inc,NASDAQ
BWFG,Bankwell Financial,NASDAQ
BWMC,Boxwood Merger Corp Cl A,NASDAQ
BWMCU,Boxwood Merger Corp Unit,NASDAQ
BWMCW,Boxwood Merger Corp WT,NASDAQ
BYFC,Broadway Fin Cp,NASDAQ
BYND,Beyond Meat Inc,NASDAQ
BYSI,Beyondspring Inc,NASDAQ
BZUN,Baozun Inc Ads,NASDAQ
CAAS,China Automotive Sys,NASDAQ
CAC,Camden Natl Cp,NASDAQ
CACC,Credit Acceptance,NASDAQ
CACG,Legg Clearbridge All Cap Growth ETF,NASDAQ
CAKE,Cheesecake Fact,NASDAQ
CALA,Calithera Biosci Com,NASDAQ
CALM,Cal-Maine Foods IN,NASDAQ
CAMP,Calamp Corp,NASDAQ
CAMT,Camtek Ltd,NASDAQ
CAPR,Capricor Therap,NASDAQ
CAR,Avis Budget Group,NASDAQ
CARA,Cara Therapeutics,NASDAQ
CARB,Carbonite Inc,NASDAQ
CARE,Carter Bank&Tr [Va],NASDAQ
CARG,Cargurus Inc Cl A,NASDAQ
CARO,Carolina Financial Corp,NASDAQ
CART,Carolina Trust Bank,NASDAQ
CARV,Carver Bancorp,NASDAQ
CARZ,Nasdaq Global Auto Index Fund FT,NASDAQ
CASA,Casa Systems Inc,NASDAQ
CASH,Meta Financial Group,NASDAQ
CASI,Casi Phrmactcls Inc,NASDAQ
CASS,Cass Information Sys,NASDAQ
CASY,Casey's General Stor,NASDAQ
CATB,Catabasis Pharma,NASDAQ
CATC,Cambridge Bancorp,NASDAQ
CATH,G-X S&P 500 Catholic Values ETF,NASDAQ
CATM,Cardtronics Inc,NASDAQ
CATS,Catasys Inc,NASDAQ
CATY,Cathay Genl Bncp,NASDAQ
CBAN,Colony Bankcorp Inc,NASDAQ
CBAT,Cbak Energy Technology Inc,NASDAQ
CBAY,Cymabay Therapeutics,NASDAQ
CBFV,Cb Financial Svc,NASDAQ
CBIO,Catalyst Bio,NASDAQ
CBLI,Cleveland Biolabs,NASDAQ
CBLK,Carbon Black Inc,NASDAQ
CBMB,Cbm Bancorp Inc,NASDAQ
CBMG,Cellular Biomedicine,NASDAQ
CBNK,Capital Bancorp Inc,NASDAQ
CBPO,China Biologic Produ,NASDAQ
CBRL,Cracker Barrel,NASDAQ
CBSH,Commerce Bancshares,NASDAQ
CBSHP,Commerce BNC B Dep,NASDAQ
CBTX,Cbtx Inc,NASDAQ
CCB,Coastal Financial Corp,NASDAQ
CCBG,Capital City Bank Gr,NASDAQ
CCCL,China Ceramics Company,NASDAQ
CCD,Calams Dy Cnv IN,NASDAQ
CCLP,CSI Compressco,NASDAQ
CCMP,Cabot Microelectron,NASDAQ
CCNE,Cnb Financial Corp,NASDAQ
CCNI,Command Center Inc,NASDAQ
CCOI,Cogent Comm Hldgs,NASDAQ
CCRC,China Customer Ord,NASDAQ
CCRN,Cross Ctry Hlthcr,NASDAQ
CCXI,Chemocentryx Inc,NASDAQ
CDC,Victory US Eqty Income Ehnd Vol Wtd ETF,NASDAQ
CDEV,Centennial Resource Development Inc,NASDAQ
CDK,Cdk Global Inc,NASDAQ
CDL,Victory US Largecap HI Div Vol Wtd ETF,NASDAQ
CDLX,Cardlytics Inc,NASDAQ
CDMO,Avid Bioservices Inc,NASDAQ
CDMOP,Avid Bioservices Inc,NASDAQ
CDNA,Caredx Inc,NASDAQ
CDNS,Cadence Design Sys,NASDAQ
CDTX,Cidara Thera,NASDAQ
CDW,CDW Corp,NASDAQ
CDXC,Chromadex Corp CS,NASDAQ
CDXS,Codexis Inc,NASDAQ
CDZI,Cadiz Inc,NASDAQ
CECE,C E C O Envir,NASDAQ
CECO,Career Education,NASDAQ
CELC,Celcuity Inc,NASDAQ
CELG,Celgene Corp,NASDAQ
CELGZ,Celgene Cp Cvr,NASDAQ
CELH,Celsius Holdings Inc,NASDAQ
CEMI,Chembio Diagnostics,NASDAQ
CENT,Central Garden,NASDAQ
CENTA,Central Garden & Pet,NASDAQ
CENX,Century Aluminum C,NASDAQ
CERC,Cerecor Inc,NASDAQ
CERN,Cerner Corp,NASDAQ
CERS,Cerus Corp,NASDAQ
CETV,Central EUR Med A,NASDAQ
CETX,Cemtrex Inc,NASDAQ
CETXP,Cemtrex Inc Series 1 Pfd,NASDAQ
CETXW,Cemtrex Inc Series 1 WT,NASDAQ
